,Product,Quantity,Price,Grocery Store,Neighborhood,City
834,7,1.0,52.4,4,8,1
835,7,1.0,178.6,5,5,3
836,7,1.0,0.17447495961227788,5,5,3
837,7,1.0,174.4,5,11,3
838,7,1.0,182.8,5,15,3
839,7,1.0,189.21775898520085,5,5,3
840,3,1.0,814.977973568282,1,15,3
841,3,1.0,545.0,1,9,1
842,3,1.0,1050.0,1,13,3
843,3,1.0,1050.0,1,11,3
844,3,1.0,1550.0,1,14,3
845,3,1.0,1100.0,1,12,3
846,3,1.0,525.0,1,8,1
847,3,1.0,710.0,1,8,1
848,3,1.0,505.0,1,8,1
849,3,1.0,535.0,1,7,1
850,3,1.0,620.0,1,8,1
851,3,1.0,505.0,1,2,1
853,3,1.0,605.0,1,7,1
854,3,1.0,380.0,1,7,1
855,3,1.0,625.0,2,7,1
856,3,1.0,690.0,2,1,1
857,3,1.0,750.0,2,9,1
858,3,1.0,629.5,2,3,1
859,3,1.0,545.0,2,8,1
860,3,1.0,650.0,2,7,1
861,3,1.0,806.0106880191892,3,10,2
862,3,1.0,660.6818462406744,3,10,2
863,3,1.0,489.98,4,1,1
864,3,1.0,504.95,4,6,1
865,3,1.0,469.94999999999993,4,9,1
866,3,1.0,599.95,4,1,1
867,3,1.0,532.9,4,1,1
869,3,1.0,695.0,4,3,1
870,3,1.0,589.94,4,6,1
871,3,1.0,495.0,4,7,1
872,3,1.0,750.0,4,6,1
873,3,1.0,740.0,4,4,1
874,3,1.0,495.0,4,8,1
875,3,1.0,1626.0000000000002,5,5,3
876,3,1.0,1600.0,5,5,3
877,3,1.0,850.0,5,11,3
878,3,1.0,1400.0,5,15,3
879,3,1.0,1600.0,5,5,3
880,3,1.0,1000.0,1,15,3
881,3,1.0,525.0,1,9,1
882,3,1.0,1520.0,1,13,3
883,3,1.0,820.0,1,11,3
884,3,1.0,814.977973568282,1,14,3
885,3,1.0,1550.0,1,12,3
886,3,1.0,545.0,1,8,1
887,3,1.0,560.0,1,8,1
888,3,1.0,605.34,1,8,1
889,3,1.0,470.0,1,7,1
890,3,1.0,470.0,1,8,1
891,3,1.0,470.0,1,2,1
893,3,1.0,835.0,1,7,1
894,3,1.0,470.0,1,7,1
895,3,1.0,650.0,2,7,1
896,3,1.0,623.5,2,1,1
897,3,1.0,525.0,2,9,1
898,3,1.0,900.0,2,3,1
899,3,1.0,623.0,2,8,1
900,3,1.0,570.0,2,7,1
901,3,1.0,935.8189738796099,3,10,2
902,3,1.0,935.8189738796099,3,10,2
903,3,1.0,497.45,4,1,1
904,3,1.0,526.9,4,6,1
905,3,1.0,749.8999999999999,4,9,1
906,3,1.0,532.9,4,1,1
907,3,1.0,498.45,4,1,1
909,3,1.0,700.0,4,3,1
910,3,1.0,532.9,4,6,1
911,3,1.0,750.0,4,7,1
912,3,1.0,623.45,4,6,1
913,3,1.0,620.0,4,4,1
914,3,1.0,850.0,4,8,1
